ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0,0,0
1367-4803,BIOINFORMATICS,0,1,0
1752-0509,BMC Systems Biology,0,0,0
1471-2105,BMC BIOINFORMATICS,0,2,0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0,0,0
1748-7188,Algorithms for Molecular Biology,0,0,0
1465-4644,BIOSTATISTICS,0,32,0
1176-9343,Evolutionary Bioinformatics,0,0,0
1662-5188,Frontiers in Computational Neuroscience,0,0,0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0,0,0
0277-6715,STATISTICS IN MEDICINE,0,811,0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0,0,0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0,0,0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0,0,0
0006-3444,BIOMETRIKA,0,41,0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0,1,0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0,51,0
0006-341X,BIOMETRICS,0,87,0
1751-8849,IET Systems Biology,0,0,0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0,0,0
1793-5245,International Journal of Biomathematics,0,0,0
1742-4682,Theoretical Biology and Medical Modelling,0,0,0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0,0,0
0025-5564,MATHEMATICAL BIOSCIENCES,0,1,0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0,0,0
0323-3847,BIOMETRICAL JOURNAL,0,26,0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0,0,0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,0,0,0
1574-8936,Current Bioinformatics,0,0,0
1748-670X,Computational and Mathematical Methods in Medicine,0,0,0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,0,0
0973-5348,Mathematical Modelling of Natural Phenomena,0,0,0
1748-5673,International Journal of Data Mining and Bioinformatics,0,0,0
1938-7989,Statistics and Its Interface,0,0,0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0,0,0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0,0,0
1868-1743,Molecular Informatics,0,0,0
1467-5463,BRIEFINGS IN BIOINFORMATICS,0,0,0
1758-0463,Database-The Journal of Biological Databases and Curation,0,0,0
0303-2647,BIOSYSTEMS,0,0,0
0001-5342,ACTA BIOTHEORETICA,0,0,0
2194-573X,International Journal of Biostatistics,0,1,0
1547-1063,Mathematical Biosciences and Engineering,0,0,0
1431-7613,THEORY IN BIOSCIENCES,0,0,0
1946-6315,Statistics in Biopharmaceutical Research,0,0,0
0385-4035,Hokkaido Mathematical Journal,0,0,0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0,0,0
2156-7018,Journal of Medical Imaging and Health Informatics,0,0,0
1756-0381,BioData Mining,0,0,0
2194-6302,Statistical Applications in Genetics and Molecular Biology,0,1,0
0219-7200,Journal of Bioinformatics and Computational Biology,0,0,0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0,0,0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0,0,0
1759-2879,Research Synthesis Methods,5488,222,183
1662-5196,Frontiers in Neuroinformatics,0,0,0
2041-1480,Journal of Biomedical Semantics,0,0,0
1751-3758,Journal of Biological Dynamics,0,0,0
1687-5265,Computational Intelligence and Neuroscience,0,0,0
0741-0395,GENETIC EPIDEMIOLOGY,0,5,0
0895-4356,JOURNAL OF CLINICAL EPIDEMIOLOGY,0,202,0
0803-5253,ACTA PAEDIATRICA,0,1,0
0098-7484,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0,76,0
0732-183X,JOURNAL OF CLINICAL ONCOLOGY,0,10,0
1756-1833,BMJ-BRITISH MEDICAL JOURNAL,0,42,0
1745-6215,TRIALS,0,7,0
1469-493X,COCHRANE DATABASE OF SYSTEMATIC REVIEWS,0,26,0
1477-9072,EXPERT REVIEW OF CARDIOVASCULAR THERAPY,0,1,0
Mathematics in science and engineering,Mathematics in science and engineering,0,2,0
Cochrane Database of Systematic Reviews Suppl 1-327,Cochrane Database of Systematic Reviews Suppl 1-327,0,1,0
COCHRANE COLLABORATI,COCHRANE COLLABORATI,0,5,0
Wiley StatsRef: Statistics Reference Online,Wiley StatsRef: Statistics Reference Online,0,1,0
Cochrane Database Syst Rev,Cochrane Database Syst Rev,0,19,0
0272-989X,MEDICAL DECISION MAKING,0,49,0
1471-2288,BMC MEDICAL RESEARCH METHODOLOGY,0,117,0
0197-2456,CONTROLLED CLINICAL TRIALS,0,60,0
1551-7144,CONTEMPORARY CLINICAL TRIALS,0,12,0
0964-1998,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,0,66,0
0091-0635,JOURNAL OF RESEARCH OF THE NATIONAL BUREAU OF STANDARDS,0,6,0
Journal of Statistical Planning and Inference,Journal of Statistical Planning and Inference,0,1,0
1548-7660,JOURNAL OF STATISTICAL SOFTWARE,0,23,0
1082-989X,PSYCHOLOGICAL METHODS,0,110,0
BMJ,BMJ,0,12,0
1554-351X,BEHAVIOR RESEARCH METHODS,0,15,0
1368-5031,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,0,6,0
0013-1644,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0,30,0
0033-3123,PSYCHOMETRIKA,0,25,0
1664-1078,FRONTIERS IN PSYCHOLOGY,0,5,0
1863-8171,ASTA-ADVANCES IN STATISTICAL ANALYSIS,0,1,0
0304-4076,JOURNAL OF ECONOMETRICS,0,3,0
0033-2909,PSYCHOLOGICAL BULLETIN,0,92,0
0007-1102,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0,25,0
Survey Methodology,Survey Methodology,0,1,0
HDB RES SYNTHESIS ME,HDB RES SYNTHESIS ME,0,6,0
The Handbook of Research Synthesis and Meta-analysis,The Handbook of Research Synthesis and Meta-analysis,0,7,0
1054-3406,JOURNAL OF BIOPHARMACEUTICAL STATISTICS,0,3,0
