ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0.0,74.0,0.0
1367-4803,BIOINFORMATICS,0.0,697.0,0.0
1752-0509,BMC Systems Biology,0.0,23.0,0.0
1471-2105,BMC BIOINFORMATICS,0.0,281.0,0.0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0.0,26.0,0.0
1748-7188,Algorithms for Molecular Biology,0.0,7.0,0.0
1465-4644,BIOSTATISTICS,0.0,19.0,0.0
1176-9343,Evolutionary Bioinformatics,0.0,3.0,0.0
1662-5188,Frontiers in Computational Neuroscience,0.0,3.0,0.0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0.0,189.0,0.0
0277-6715,STATISTICS IN MEDICINE,0.0,45.0,0.0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0.0,8.0,0.0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0.0,20.0,0.0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0.0,42.0,0.0
0006-3444,BIOMETRIKA,0.0,32.0,0.0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0.0,308.0,0.0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0.0,9.0,0.0
0006-341X,BIOMETRICS,0.0,43.0,0.0
1751-8849,IET Systems Biology,0.0,8.0,0.0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0.0,229.0,0.0
1793-5245,International Journal of Biomathematics,0.0,1.0,0.0
1742-4682,Theoretical Biology and Medical Modelling,0.0,6.0,0.0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0.0,45.0,0.0
0025-5564,MATHEMATICAL BIOSCIENCES,0.0,51.0,0.0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0.0,10.0,0.0
0323-3847,BIOMETRICAL JOURNAL,0.0,6.0,0.0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.0,6.0,0.0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,50890.0,1070.0,1655.0
1574-8936,Current Bioinformatics,0.0,10.0,0.0
1748-670X,Computational and Mathematical Methods in Medicine,0.0,23.0,0.0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0.0,0.0,0.0
0973-5348,Mathematical Modelling of Natural Phenomena,0.0,5.0,0.0
1748-5673,International Journal of Data Mining and Bioinformatics,0.0,14.0,0.0
1938-7989,Statistics and Its Interface,0.0,1.0,0.0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0.0,6.0,0.0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0.0,35.0,0.0
1868-1743,Molecular Informatics,0.0,9.0,0.0
1467-5463,BRIEFINGS IN BIOINFORMATICS,0.0,44.0,0.0
1758-0463,Database-The Journal of Biological Databases and Curation,0.0,1.0,0.0
0303-2647,BIOSYSTEMS,0.0,25.0,0.0
0001-5342,ACTA BIOTHEORETICA,0.0,6.0,0.0
2194-573X,International Journal of Biostatistics,0.0,0.0,0.0
1547-1063,Mathematical Biosciences and Engineering,0.0,8.0,0.0
1431-7613,THEORY IN BIOSCIENCES,0.0,0.0,0.0
1946-6315,Statistics in Biopharmaceutical Research,0.0,0.0,0.0
0385-4035,Hokkaido Mathematical Journal,0.0,0.0,0.0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0.0,0.0,0.0
2156-7018,Journal of Medical Imaging and Health Informatics,0.0,14.0,0.0
1756-0381,BioData Mining,0.0,4.0,0.0
2194-6302,Statistical Applications in Genetics and Molecular Biology,0.0,0.0,0.0
0219-7200,Journal of Bioinformatics and Computational Biology,0.0,1.0,0.0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0.0,4.0,0.0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0.0,65.0,0.0
1759-2879,Research Synthesis Methods,0.0,1.0,0.0
1662-5196,Frontiers in Neuroinformatics,0.0,7.0,0.0
2041-1480,Journal of Biomedical Semantics,0.0,2.0,0.0
1751-3758,Journal of Biological Dynamics,0.0,0.0,0.0
1687-5265,Computational Intelligence and Neuroscience,0.0,8.0,0.0
0741-0395,GENETIC EPIDEMIOLOGY,0.0,7.0,0.0
0302-9743,MEMBRANE COMPUTING (CMC 2015),0.0,506.0,0.0
0934-5043,FORMAL ASPECTS OF COMPUTING,0.0,1.0,0.0
0304-3975,THEORETICAL COMPUTER SCIENCE,0.0,12.0,0.0
1548-7199,INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,0.0,1.0,0.0
1433-2779,INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,0.0,1.0,0.0
Garland science,Garland science,0.0,1.0,0.0
IEEE-ACM Transaction on Computational Biology and Bioinformatics,IEEE-ACM Transaction on Computational Biology and Bioinformatics,0.0,1.0,0.0
