ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0.0,151.0,0.0
1367-4803,BIOINFORMATICS,0.0,351.0,0.0
1752-0509,BMC Systems Biology,0.0,100.0,0.0
1471-2105,BMC BIOINFORMATICS,0.0,138.0,0.0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0.0,77.0,0.0
1748-7188,Algorithms for Molecular Biology,0.0,2.0,0.0
1465-4644,BIOSTATISTICS,0.0,1.0,0.0
1176-9343,Evolutionary Bioinformatics,0.0,2.0,0.0
1662-5188,Frontiers in Computational Neuroscience,0.0,10.0,0.0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0.0,783.0,0.0
0277-6715,STATISTICS IN MEDICINE,0.0,7.0,0.0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0.0,39.0,0.0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0.0,10.0,0.0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0.0,152.0,0.0
0006-3444,BIOMETRIKA,0.0,4.0,0.0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0.0,4.0,0.0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0.0,1.0,0.0
0006-341X,BIOMETRICS,0.0,8.0,0.0
1751-8849,IET Systems Biology,0.0,15.0,0.0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0.0,0.0,0.0
1793-5245,International Journal of Biomathematics,0.0,6.0,0.0
1742-4682,Theoretical Biology and Medical Modelling,0.0,16.0,0.0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0.0,67.0,0.0
0025-5564,MATHEMATICAL BIOSCIENCES,0.0,145.0,0.0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0.0,4.0,0.0
0323-3847,BIOMETRICAL JOURNAL,0.0,0.0,0.0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.0,5.0,0.0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,0.0,17.0,0.0
1574-8936,Current Bioinformatics,0.0,7.0,0.0
1748-670X,Computational and Mathematical Methods in Medicine,0.0,6.0,0.0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0.0,0.0,0.0
0973-5348,Mathematical Modelling of Natural Phenomena,0.0,6.0,0.0
1748-5673,International Journal of Data Mining and Bioinformatics,0.0,2.0,0.0
1938-7989,Statistics and Its Interface,0.0,0.0,0.0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0.0,16.0,0.0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0.0,2.0,0.0
1868-1743,Molecular Informatics,0.0,1.0,0.0
