ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0.0,12.0,0.0
1367-4803,BIOINFORMATICS,0.0,226.0,0.0
1752-0509,BMC Systems Biology,0.0,3.0,0.0
1471-2105,BMC BIOINFORMATICS,0.0,82.0,0.0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0.0,4.0,0.0
1748-7188,Algorithms for Molecular Biology,0.0,0.0,0.0
1465-4644,BIOSTATISTICS,0.0,758.0,0.0
1176-9343,Evolutionary Bioinformatics,0.0,0.0,0.0
1662-5188,Frontiers in Computational Neuroscience,0.0,2.0,0.0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0.0,16.0,0.0
0277-6715,STATISTICS IN MEDICINE,63666.0,8801.0,2506.0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0.0,4.0,0.0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0.0,2.0,0.0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0.0,8.0,0.0
0006-3444,BIOMETRIKA,0.0,2729.0,0.0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0.0,1.0,0.0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0.0,644.0,0.0
0006-341X,BIOMETRICS,0.0,4999.0,0.0
1751-8849,IET Systems Biology,0.0,0.0,0.0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0.0,3.0,0.0
1793-5245,International Journal of Biomathematics,0.0,0.0,0.0
1742-4682,Theoretical Biology and Medical Modelling,0.0,3.0,0.0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0.0,12.0,0.0
0025-5564,MATHEMATICAL BIOSCIENCES,0.0,39.0,0.0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0.0,0.0,0.0
0323-3847,BIOMETRICAL JOURNAL,0.0,781.0,0.0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.0,2.0,0.0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,0.0,9.0,0.0
1574-8936,Current Bioinformatics,0.0,1.0,0.0
1748-670X,Computational and Mathematical Methods in Medicine,0.0,2.0,0.0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0.0,50.0,0.0
0973-5348,Mathematical Modelling of Natural Phenomena,0.0,1.0,0.0
1748-5673,International Journal of Data Mining and Bioinformatics,0.0,0.0,0.0
1938-7989,Statistics and Its Interface,0.0,43.0,0.0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0.0,3.0,0.0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0.0,0.0,0.0
1868-1743,Molecular Informatics,0.0,0.0,0.0
1467-5463,BRIEFINGS IN BIOINFORMATICS,0.0,17.0,0.0
1758-0463,Database-The Journal of Biological Databases and Curation,0.0,0.0,0.0
0303-2647,BIOSYSTEMS,0.0,0.0,0.0
0001-5342,ACTA BIOTHEORETICA,0.0,1.0,0.0
2194-573X,International Journal of Biostatistics,0.0,29.0,0.0
1547-1063,Mathematical Biosciences and Engineering,0.0,0.0,0.0
1431-7613,THEORY IN BIOSCIENCES,0.0,0.0,0.0
1946-6315,Statistics in Biopharmaceutical Research,0.0,136.0,0.0
0385-4035,Hokkaido Mathematical Journal,0.0,0.0,0.0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0.0,0.0,0.0
2156-7018,Journal of Medical Imaging and Health Informatics,0.0,0.0,0.0
1756-0381,BioData Mining,0.0,1.0,0.0
2194-6302,Statistical Applications in Genetics and Molecular Biology,0.0,5.0,0.0
0219-7200,Journal of Bioinformatics and Computational Biology,0.0,0.0,0.0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0.0,0.0,0.0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0.0,1.0,0.0
1759-2879,Research Synthesis Methods,0.0,132.0,0.0
1662-5196,Frontiers in Neuroinformatics,0.0,1.0,0.0
2041-1480,Journal of Biomedical Semantics,0.0,0.0,0.0
1751-3758,Journal of Biological Dynamics,0.0,0.0,0.0
1687-5265,Computational Intelligence and Neuroscience,0.0,0.0,0.0
0741-0395,GENETIC EPIDEMIOLOGY,0.0,217.0,0.0
0028-4793,NEW ENGLAND JOURNAL OF MEDICINE,0.0,688.0,0.0
1551-7144,CONTEMPORARY CLINICAL TRIALS,0.0,182.0,0.0
0090-5364,ANNALS OF STATISTICS,0.0,1019.0,0.0
0021-9738,JOURNAL OF CLINICAL INVESTIGATION,0.0,12.0,0.0
0162-1459,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,0.0,3559.0,0.0
0003-1305,AMERICAN STATISTICIAN,0.0,367.0,0.0
Commun Stat Seq Anal,Commun Stat Seq Anal,0.0,5.0,0.0
Biometrika,Biometrika,0.0,82.0,0.0
1539-1604,PHARMACEUTICAL STATISTICS,0.0,358.0,0.0
1550-7416,AAPS JOURNAL,0.0,18.0,0.0
0022-3573,JOURNAL OF PHARMACY AND PHARMACOLOGY,0.0,2.0,0.0
0724-8741,PHARMACEUTICAL RESEARCH,0.0,31.0,0.0
0031-6970,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,0.0,9.0,0.0
0312-5963,CLINICAL PHARMACOKINETICS,0.0,12.0,0.0
Summary of the discussions held at the 3rd symposium on bioequivalence,Summary of the discussions held at the 3rd symposium on bioequivalence,0.0,1.0,0.0
CPMP/EWP/QWP/1401/98 Rev. 1/Corr,CPMP/EWP/QWP/1401/98 Rev. 1/Corr,0.0,2.0,0.0
Pharm Res,Pharm Res,0.0,1.0,0.0
1369-7412,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,0.0,1036.0,0.0
1528-4336,HIV CLINICAL TRIALS,0.0,4.0,0.0
0140-6736,LANCET,0.0,345.0,0.0
1932-6203,PLOS ONE,0.0,175.0,0.0
1054-3406,JOURNAL OF BIOPHARMACEUTICAL STATISTICS,0.0,456.0,0.0
0883-4237,STATISTICAL SCIENCE,0.0,487.0,0.0
2331-1835,COGENT MATHEMATICS,0.0,1.0,0.0
0021-9681,JOURNAL OF CHRONIC DISEASES,0.0,72.0,0.0
J Japan Stat Soc,J Japan Stat Soc,0.0,1.0,0.0
0964-1998,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,0.0,390.0,0.0
0378-3758,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,0.0,407.0,0.0
1474-4422,LANCET NEUROLOGY,0.0,26.0,0.0
0036-8075,SCIENCE,0.0,120.0,0.0
0364-5134,ANNALS OF NEUROLOGY,0.0,29.0,0.0
0006-8950,BRAIN,0.0,8.0,0.0
0148-396X,NEUROSURGERY,0.0,2.0,0.0
0896-6273,NEURON,0.0,17.0,0.0
1935-861X,BRAIN STIMULATION,0.0,1.0,0.0
0014-4886,EXPERIMENTAL NEUROLOGY,0.0,2.0,0.0
1388-2457,CLINICAL NEUROPHYSIOLOGY,0.0,1.0,0.0
0035-9246,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL,0.0,540.0,0.0
OPTIMAL DESIGN FOR NONLINEAR RESPONSE MODELS,OPTIMAL DESIGN FOR NONLINEAR RESPONSE MODELS,0.0,2.0,0.0
The. Can J Math.,The. Can J Math.,0.0,1.0,0.0
0960-3174,STATISTICS AND COMPUTING,0.0,224.0,0.0
0094-9655,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0.0,100.0,0.0
1060-0280,ANNALS OF PHARMACOTHERAPY,0.0,3.0,0.0
0006-2952,BIOCHEMICAL PHARMACOLOGY,0.0,1.0,0.0
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0.0,27.0,0.0
0035-9254,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0.0,488.0,0.0
0012-9658,ECOLOGY,0.0,19.0,0.0
0167-9473,COMPUTATIONAL STATISTICS & DATA ANALYSIS,0.0,547.0,0.0
1567-567X,JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS,0.0,39.0,0.0
1672-3651,CHINESE JOURNAL OF NATURAL MEDICINES,0.0,1.0,0.0
0021-9606,JOURNAL OF CHEMICAL PHYSICS,0.0,17.0,0.0
0022-3549,JOURNAL OF PHARMACEUTICAL SCIENCES,0.0,7.0,0.0
0003-4851,ANNALS OF MATHEMATICAL STATISTICS,0.0,216.0,0.0
Technical Report No. 9722,Technical Report No. 9722,0.0,1.0,0.0
Bayesian Statistics,Bayesian Statistics,0.0,18.0,0.0
Stat Med,Stat Med,0.0,36.0,0.0
0090-466X,JOURNAL OF PHARMACOKINETICS AND BIOPHARMACEUTICS,0.0,43.0,0.0
1471-082X,STATISTICAL MODELLING,0.0,132.0,0.0
0040-1706,TECHNOMETRICS,0.0,253.0,0.0
1061-8600,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0.0,266.0,0.0
0301-5661,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,0.0,15.0,0.0
Mathematical Methods of Statistics,Mathematical Methods of Statistics,0.0,3.0,0.0
Eur. J. Pediatr. Dentist,Eur. J. Pediatr. Dentist,0.0,6.0,0.0
1044-3983,EPIDEMIOLOGY,0.0,593.0,0.0
1532-4435,JOURNAL OF MACHINE LEARNING RESEARCH,0.0,66.0,0.0
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,0.0,974.0,0.0
0167-5877,PREVENTIVE VETERINARY MEDICINE,0.0,56.0,0.0
0895-4356,JOURNAL OF CLINICAL EPIDEMIOLOGY,0.0,704.0,0.0
arXiv . 2011 ;1111. 4246.,arXiv . 2011 ;1111. 4246.,0.0,1.0,0.0
0959-535X,BRITISH MEDICAL JOURNAL,0.0,147.0,0.0
0095-1137,JOURNAL OF CLINICAL MICROBIOLOGY,0.0,49.0,0.0
1475-2891,NUTRITION JOURNAL,0.0,6.0,0.0
1559-0631,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,0.0,20.0,0.0
1386-6532,JOURNAL OF CLINICAL VIROLOGY,0.0,7.0,0.0
0958-7578,TRANSFUSION MEDICINE,0.0,1.0,0.0
0269-283X,MEDICAL AND VETERINARY ENTOMOLOGY,0.0,3.0,0.0
ANNALS OF MATHEMATICAL STATISTICS,ANNALS OF MATHEMATICAL STATISTICS,0.0,46.0,0.0
1017-0405,STATISTICA SINICA,0.0,415.0,0.0
0030-364X,OPERATIONS RESEARCH,0.0,23.0,0.0
0105-1873,CONTACT DERMATITIS,0.0,2.0,0.0
0070-3370,DEMOGRAPHY,0.0,26.0,0.0
1047-2797,ANNALS OF EPIDEMIOLOGY,0.0,44.0,0.0
0020-3157,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,0.0,65.0,0.0
0032-4728,POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,0.0,2.0,0.0
0042-9686,BULLETIN OF THE WORLD HEALTH ORGANIZATION,0.0,13.0,0.0
0304-4076,JOURNAL OF ECONOMETRICS,0.0,131.0,0.0
0090-0036,AMERICAN JOURNAL OF PUBLIC HEALTH,0.0,92.0,0.0
1435-9871,DEMOGRAPHIC RESEARCH,0.0,3.0,0.0
0034-8910,REVISTA DE SAUDE PUBLICA,0.0,4.0,0.0
0165-1765,ECONOMICS LETTERS,0.0,11.0,0.0
Revista Brasileira de Epidemiologia,Revista Brasileira de Epidemiologia,0.0,1.0,0.0
Empirical Economics,Empirical Economics,0.0,3.0,0.0
Revista Medica de Minas Gerais,Revista Medica de Minas Gerais,0.0,1.0,0.0
R News,R News,0.0,30.0,0.0
1643-3750,MEDICAL SCIENCE MONITOR,0.0,1.0,0.0
0306-7734,INTERNATIONAL STATISTICAL REVIEW,0.0,150.0,0.0
1048-5252,JOURNAL OF NONPARAMETRIC STATISTICS,0.0,40.0,0.0
0303-6898,SCANDINAVIAN JOURNAL OF STATISTICS,0.0,323.0,0.0
"APPLIED LOGISTIC REGRESSION, 3RD EDITION","APPLIED LOGISTIC REGRESSION, 3RD EDITION",0.0,5.0,0.0
Statistical Science,Statistical Science,0.0,93.0,0.0
0886-3350,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0.0,2.0,0.0
Stat Sci,Stat Sci,0.0,70.0,0.0
1471-2334,BMC INFECTIOUS DISEASES,0.0,13.0,0.0
0735-0015,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,0.0,52.0,0.0
0047-259X,JOURNAL OF MULTIVARIATE ANALYSIS,0.0,154.0,0.0
0034-6535,REVIEW OF ECONOMICS AND STATISTICS,0.0,43.0,0.0
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.0,177.0,0.0
0167-7152,STATISTICS & PROBABILITY LETTERS,0.0,163.0,0.0
1473-3099,LANCET INFECTIOUS DISEASES,0.0,20.0,0.0
R package version 6.2,R package version 6.2,0.0,1.0,0.0
0002-9637,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0.0,15.0,0.0
1678-4464,CADERNOS DE SAUDE PUBLICA,0.0,4.0,0.0
1678-9849,REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL,0.0,1.0,0.0
1750-2640,INFLUENZA AND OTHER RESPIRATORY VIRUSES,0.0,3.0,0.0
0028-0836,NATURE,0.0,140.0,0.0
1935-2727,PLOS NEGLECTED TROPICAL DISEASES,0.0,3.0,0.0
J Stat Softw,J Stat Softw,0.0,10.0,0.0
PLOS Currents Outbreaks,PLOS Currents Outbreaks,0.0,2.0,0.0
Annals of Economics and Finance,Annals of Economics and Finance,0.0,1.0,0.0
PLoS currents,PLoS currents,0.0,1.0,0.0
0091-6765,ENVIRONMENTAL HEALTH PERSPECTIVES,0.0,107.0,0.0
0003-0007,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0.0,2.0,0.0
1932-6157,ANNALS OF APPLIED STATISTICS,0.0,175.0,0.0
0936-577X,CLIMATE RESEARCH,0.0,2.0,0.0
0036-8733,SCIENTIFIC AMERICAN,0.0,4.0,0.0
1558-8424,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,0.0,1.0,0.0
Case studies in Bayesian statistics,Case studies in Bayesian statistics,0.0,1.0,0.0
Biostatistics,Biostatistics,0.0,89.0,0.0
POLITICAL ANAL,POLITICAL ANAL,0.0,5.0,0.0
1931-6690,BAYESIAN ANALYSIS,0.0,174.0,0.0
0300-5771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,0.0,391.0,0.0
0002-9602,AMERICAN JOURNAL OF SOCIOLOGY,0.0,12.0,0.0
1873-9318,AIR QUALITY ATMOSPHERE AND HEALTH,0.0,1.0,0.0
1180-4009,ENVIRONMETRICS,0.0,67.0,0.0
0899-8418,INTERNATIONAL JOURNAL OF CLIMATOLOGY,0.0,2.0,0.0
0163-7525,ANNUAL REVIEW OF PUBLIC HEALTH,0.0,44.0,0.0
1352-8505,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0.0,30.0,0.0
ArXiv:1607.07002,ArXiv:1607.07002,0.0,1.0,0.0
1935-7524,ELECTRONIC JOURNAL OF STATISTICS,0.0,33.0,0.0
0361-0926,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,0.0,278.0,0.0
Journal of biopharmaceutical statistics,Journal of biopharmaceutical statistics,0.0,9.0,0.0
Statist. Decisions,Statist. Decisions,0.0,1.0,0.0
1043-6618,PHARMACOLOGICAL RESEARCH,0.0,3.0,0.0
1133-0686,TEST,0.0,38.0,0.0
Proc. Fourth Berkley Symp. on Math. Statist. and Prob,Proc. Fourth Berkley Symp. on Math. Statist. and Prob,0.0,3.0,0.0
0269-9370,AIDS,0.0,74.0,0.0
1572-3127,STATISTICAL METHODOLOGY,0.0,9.0,0.0
0012-9682,ECONOMETRICA,0.0,264.0,0.0
0959-8138,BRITISH MEDICAL JOURNAL,0.0,185.0,0.0
0003-990X,ARCHIVES OF GENERAL PSYCHIATRY,0.0,52.0,0.0
0884-8734,JOURNAL OF GENERAL INTERNAL MEDICINE,0.0,14.0,0.0
0098-7484,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0.0,469.0,0.0
Essays in Honor of Jerry Hausman,Essays in Honor of Jerry Hausman,0.0,1.0,0.0
Computing science and statistics,Computing science and statistics,0.0,1.0,0.0
1091-4269,DEPRESSION AND ANXIETY,0.0,3.0,0.0
1078-0432,CLINICAL CANCER RESEARCH,0.0,126.0,0.0
0959-8049,EUROPEAN JOURNAL OF CANCER,0.0,100.0,0.0
0732-183X,JOURNAL OF CLINICAL ONCOLOGY,0.0,405.0,0.0
0027-8874,JOURNAL OF THE NATIONAL CANCER INSTITUTE,0.0,343.0,0.0
0277-3732,CANCER CLINICAL TRIALS,0.0,5.0,0.0
1474-1776,NATURE REVIEWS DRUG DISCOVERY,0.0,38.0,0.0
1083-7159,ONCOLOGIST,0.0,12.0,0.0
0903-1936,EUROPEAN RESPIRATORY JOURNAL,0.0,21.0,0.0
0003-4800,ANNALS OF HUMAN GENETICS,0.0,48.0,0.0
1061-4036,NATURE GENETICS,0.0,133.0,0.0
Introduction to Meta-Analysis,Introduction to Meta-Analysis,0.0,1.0,0.0
arXiv preprint arXiv:1606.03729,arXiv preprint arXiv:1606.03729,0.0,1.0,0.0
<IT>J. Comput. Graph. Stat.</IT>,<IT>J. Comput. Graph. Stat.</IT>,0.0,1.0,0.0
Eur J Epidemiol,Eur J Epidemiol,0.0,1.0,0.0
1073-449X,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,0.0,43.0,0.0
0016-6731,GENETICS,0.0,41.0,0.0
