,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000418866500001,2041-1480,WOS:000289984100012,1059-7794,2011
2,WOS:000418866500001,2041-1480,WOS:000086884000011,1061-4036,2000
3,WOS:000418866500001,2041-1480,WOS:000323297500001,1063-5157,2013
4,WOS:000418866500001,2041-1480,WOS:000227026500017,1465-6914,2005
5,WOS:000418866500001,2041-1480,WOS:000188079000061,0305-1048,2004
6,WOS:000418866500001,2041-1480,WOS:000402542900038,1553-734X,2017
7,WOS:000418866500001,2041-1480,WOS:000278017300003,1932-6203,2010
8,WOS:000418866500001,2041-1480,WOS:000252545400063,0305-1048,2008
9,WOS:000418866500001,2041-1480,WOS:000237462800002,0167-8655,2006
10,WOS:000418866500001,2041-1480,WOS:000309543200018,0938-8990,2012
11,WOS:000418866500001,2041-1480,WOS:000226337200014,1465-6906,2005
12,WOS:000418866500001,2041-1480,WOS:000350049200030,0922-6389,2010
13,WOS:000418866500001,2041-1480,WOS:000332259300022,1367-4803,2014
14,WOS:000418866500001,2041-1480,WOS:000332259300018,1367-4803,2014
15,WOS:000418866500001,2041-1480,WOS:000307501100011,1367-4803,2012
16,WOS:000418866500001,2041-1480,WOS:000305825600016,1367-4803,2012
17,WOS:000418866500001,2041-1480,WOS:000289162000017,1367-4803,2011
18,WOS:000418866500001,2041-1480,WOS:000284947700015,1367-4803,2010
19,WOS:000418866500001,2041-1480,WOS:000354554300003,1471-2105,2015
20,WOS:000418866500001,2041-1480,WOS:000315284700001,2042-8898,2013
21,WOS:000418866500001,2041-1480,WOS:000330980400005,0938-8990,2014
22,WOS:000418866500001,2041-1480,WOS:000407150800038,2335-6936,2012
23,WOS:000418866500001,2041-1480,WOS:000317893400022,1932-6203,2013
24,WOS:000418866500001,2041-1480,FORA DA BASE,Database,2012
25,WOS:000418866500001,2041-1480,FORA DA BASE,Brief Bioinform,2017
26,WOS:000418866500001,2041-1480,FORA DA BASE,Brief Bioinform,2011
27,WOS:000418866500001,2041-1480,FORA DA BASE,Nucleic Acids Res,2011
28,WOS:000418866500001,2041-1480,WOS:000306816100018,0302-9743,2011
29,WOS:000418866500001,2041-1480,WOS:000267376400012,0302-9743,2009
30,WOS:000418866500001,2041-1480,WOS:000335895400001,0168-7433,2014
31,WOS:000418866500001,2041-1480,WOS:000350210400157,0305-1048,2015
32,WOS:000418866500001,2041-1480,WOS:000331139800142,0305-1048,2014
33,WOS:000418866500001,2041-1480,WOS:000276374400075,0027-8424,2010
34,WOS:000418866500001,2041-1480,WOS:000305390300005,1474-7596,2012
35,WOS:000418866500001,2041-1480,WOS:000276433600010,1474-760X,2010
36,WOS:000418866500001,2041-1480,WOS:000396575500100,0305-1048,2017
37,WOS:000418866500001,2041-1480,WOS:000267889100031,0305-1048,2009
38,WOS:000418866500001,2041-1480,WOS:000343854900023,0957-4174,2015
39,WOS:000418866500001,2041-1480,WOS:000269220100003,1553-734X,2009
40,WOS:000418866500001,2041-1480,WOS:000081762700001,1076-9757,1999
41,WOS:000418866500001,2041-1480,WOS:000261006900007,0002-9297,2008
42,WOS:000418866500001,2041-1480,WOS:000367451400012,1932-6203,2015
43,WOS:000418866500001,2041-1480,WOS:000284148900028,0305-1048,2010
44,WOS:000418866500001,2041-1480,WOS:000373262000001,2041-1480,2016
45,WOS:000418866500001,2041-1480,WOS:000304008400009,1059-7794,2012
46,WOS:000418866500001,2041-1480,WOS:000343705700003,2041-1480,2013
47,WOS:000418866500001,2041-1480,WOS:000298601300142,0305-1048,2012
48,WOS:000418866500001,2041-1480,WOS:000283710600010,1939-5094,2009
49,WOS:000418866500001,2041-1480,WOS:000274865200006,1570-8268,2010
50,WOS:000418866500001,2041-1480,WOS:000256667400032,0302-9743,2008
51,WOS:000418866500001,2041-1480,FORA DA BASE,F1000Research,2013
52,WOS:000418866500001,2041-1480,FORA DA BASE,Genome Biol.,2004
53,WOS:000418866500001,2041-1480,FORA DA BASE,Phenoday @ ISMB2014,2014
54,WOS:000418866500001,2041-1480,WOS:000232309700001,0302-9743,2005
55,WOS:000417569200001,2041-1480,WOS:000302000800011,0302-9743,2011
56,WOS:000417569200001,2041-1480,WOS:000398517600001,2041-1480,2017
57,WOS:000417569200001,2041-1480,WOS:000286215200017,1367-4803,2011
58,WOS:000417569200001,2041-1480,WOS:000221116700003,0891-2017,2003
59,WOS:000417569200001,2041-1480,WOS:000285036700017,1532-0464,2010
60,WOS:000417569200001,2041-1480,WOS:000286991300016,1367-4803,2011
61,WOS:000417569200001,2041-1480,WOS:000289624600001,1041-4347,2011
62,WOS:000417569200001,2041-1480,WOS:000244124500015,1367-4803,2007
63,WOS:000417569200001,2041-1480,WOS:000241742500001,1471-2164,2006
64,WOS:000417569200001,2041-1480,WOS:000225786600035,1367-4803,2004
65,WOS:000417569200001,2041-1480,WOS:000168413300010,1061-4036,2001
66,WOS:000417569200001,2041-1480,WOS:000246105900005,0302-9743(print),2007
67,WOS:000417569200001,2041-1480,WOS:000229125400011,1544-9173,2005
68,WOS:000417569200001,2041-1480,FORA DA BASE,P C EMP METH NAT LAN,2011
69,WOS:000417569200001,2041-1480,FORA DA BASE,Proceedings of COLING,2012
70,WOS:000417569200001,2041-1480,FORA DA BASE,Pharmacogenomics Journal,2001
71,WOS:000417569200001,2041-1480,WOS:000186723700001,1532-0464,2003
72,WOS:000417569200001,2041-1480,WOS:000374131200034,1932-6203,2016
73,WOS:000417569200001,2041-1480,WOS:000168325600009,1367-4803,2001
74,WOS:000417569200001,2041-1480,WOS:000245465200002,0002-9297,2007
75,WOS:000417569200001,2041-1480,WOS:000352687200001,1471-2105,2015
76,WOS:000417569200001,2041-1480,WOS:000407136100059,2325-6516,2010
77,WOS:000417569200001,2041-1480,WOS:000391230900002,1553-734X,2016
78,WOS:000417569200001,2041-1480,WOS:000186448900006,1367-4803,2003
79,WOS:000417569200001,2041-1480,WOS:000393278900006,1472-6947,2016
80,WOS:000417569200001,2041-1480,FORA DA BASE,CoRR,2016
